"자치구별(1)",자치구별(2),소계,소계,소계,지체,지체,지체,뇌병변,뇌병변,뇌병변,시각,시각,시각,청각,청각,청각,언어,언어,언어,지적장애,지적장애,지적장애,자폐성,자폐성,자폐성,정신장애,정신장애,정신장애,신장장애,신장장애,신장장애,심장장애,심장장애,심장장애,호흡기,호흡기,호흡기,간,간,간,안면,안면,안면,장루요루,장루요루,장루요루,뇌전증,뇌전증,뇌전증
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"서울시",소계,392123,227302,164821,167986,94721,73265,40299,23842,16457,41220,24740,16480,59714,32918,26796,3416,2434,982,27330,16724,10606,6855,5788,1067,16600,8470,8130,18301,10871,7430,1008,654,354,2143,1578,565,2663,1835,828,381,210,171,2959,1830,1129,1248,687,561
"서울시",종로구,5929,3426,2503,2508,1370,1138,553,346,207,703,442,261,949,527,422,45,32,13,401,232,169,105,88,17,262,136,126,266,163,103,13,6,7,26,21,5,45,32,13,7,4,3,30,19,11,16,8,8
"서울시",중구,5634,3262,2372,2498,1362,1136,567,372,195,717,440,277,860,479,381,32,22,10,297,175,122,74,56,18,207,122,85,226,126,100,14,8,6,30,25,5,41,31,10,7,3,4,43,29,14,21,12,9
"서울시",용산구,7686,4445,3241,3253,1778,1475,757,449,308,933,571,362,1147,627,520,65,47,18,526,329,197,127,103,24,282,148,134,363,223,140,19,13,6,48,36,12,68,57,11,5,4,1,71,44,27,22,16,6
"서울시",성동구,11284,6515,4769,5061,2844,2217,1142,692,450,1135,652,483,1701,913,788,108,85,23,696,428,268,195,164,31,407,212,195,487,291,196,32,21,11,89,70,19,85,56,29,12,8,4,92,55,37,42,24,18
"서울시",광진구,12253,7087,5166,5415,3019,2396,1192,683,509,1312,808,504,1809,1040,769,90,64,26,806,471,335,188,158,30,530,263,267,587,341,246,37,27,10,66,56,10,67,49,18,9,5,4,101,76,25,44,27,17
"서울시",동대문구,15518,9007,6511,7065,3946,3119,1583,942,641,1516,952,564,2429,1345,1084,140,105,35,899,577,322,171,145,26,633,333,300,692,410,282,31,22,9,82,68,14,103,64,39,18,10,8,112,65,47,44,23,21
"서울시",중랑구,20357,11792,8565,9465,5344,4121,2094,1231,863,2094,1247,847,2583,1470,1113,173,128,45,1323,818,505,254,213,41,856,434,422,972,557,415,50,32,18,144,114,30,98,61,37,14,5,9,162,102,60,75,36,39
"서울시",성북구,17382,9940,7442,7621,4189,3432,1788,1042,746,1923,1141,782,2600,1450,1150,167,120,47,1139,708,431,248,209,39,647,332,315,806,468,338,36,26,10,91,65,26,128,82,46,18,8,10,121,75,46,49,25,24
"서울시",강북구,17395,9922,7473,7538,4203,3335,1714,1019,695,1909,1067,842,2780,1577,1203,141,99,42,1218,707,511,175,154,21,747,383,364,759,442,317,37,21,16,99,75,24,85,54,31,6,2,4,134,88,46,53,31,22
